form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405878,SB21B.30321,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2023-01-23,119.98,,internet service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30339,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2023-02-21,119.98,,internet service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30361,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2023-03-21,119.98,,internet service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30380,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2023-04-21,119.98,,internet service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30411,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2023-05-22,119.98,,internet service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30433,,,ORG,Spectrum (formerlyTime Warner Cable),,,,,,2505 Atlantic Ave. Ste. 101,,Raleigh,NC,27604,,,2023-06-21,84.99,,internet services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30408,,,ORG,Sunco,,,,,,1442 U St NW,,Washington,DC,20009,,,2023-05-18,85.15,,gas for DC trip,002,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30318,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-01-17,8.00,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30335,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-02-14,8.00,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30358,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-03-14,8.00,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30378,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-04-14,8.00,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30395,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-05-15,8.00,,advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30426,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-06-09,9.76,,online ads,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30429,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-06-14,8.00,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30434,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-06-21,97.29,,online advertising,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30436,,,ORG,"Twitter, Inc",,,,,,1355 Market Street,Suite 900,San Francisco,CA,94103,,,2023-06-23,108.02,,online ads,004,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30312,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2023-01-09,24.96,,phone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30330,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2023-02-07,24.96,,phone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30353,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2023-03-07,24.96,,phone service,001,,,,,,,,,,,,,,,,,,,
SB21B,C00405878,SB21B.30374,,,ORG,Vonage,,,,,,23 Main St,,Holmdel,NJ,07733,,,2023-04-07,24.60,,phone service,001,,,,,,,,,,,,,,,,,,,
