form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571323,SB21B.8047,,,ORG,Senate Dining,,,,,,US Capitol Building,"Room S-110,",Washington,DC,20004,,,2023-12-14,17.00,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8232,,,ORG,The Ben Autograph,,,,,,251 N Narcissus Ave,,West Palm Beach,FL,33401,,,2023-11-16,473.47,,PAC Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7829,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-07-07,5.06,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7830,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-07-19,23.58,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7831,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-07-19,9.94,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7832,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-07-20,42.42,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7833,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-07-26,52.02,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7834,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-07-26,10.00,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8085,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-13,41.07,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8086,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-14,52.60,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8089,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-20,28.10,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8090,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-21,28.02,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8091,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-25,15.97,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8092,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-25,4.20,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8093,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-25,3.00,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8094,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-25,19.49,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8095,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-27,3.00,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8097,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-09-28,50.46,,PAC - Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8247,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-04,9.71,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8248,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-05,25.34,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8249,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-05,1.00,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8250,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-06,3.80,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8251,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-06,70.56,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8227,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-10,27.88,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8243,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-10,27.25,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8252,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-10,11.14,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8253,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-10,32.34,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8254,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-10,4.08,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8255,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-10,43.11,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8256,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-11,20.99,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8257,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-16,19.78,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8258,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-16,4.19,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8259,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-16,22.90,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8260,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-16,3.43,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8261,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-19,3.00,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8262,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,94103,,,2023-10-20,34.76,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
