form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,500407853,,,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215 Pmb 382,Las Vegas,NV,891481732,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00655613,,,Lee,Susie,,,,H,NV,03,,,,,,,,
SB23,C00409730,17031689C,17031689,SA11C,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215 Pmb 382,Las Vegas,NV,891481732,,,2024-03-18,2500.00,0.00,Conduit Contribution,,C00655613,,,Lee,Susie,,,,H,NV,03,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042198C,17042198,SA11C,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215 Pmb 382,Las Vegas,NV,891481732,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00655613,,,Lee,Susie,,,,H,NV,03,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053569C,17053569,SA11C,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215 Pmb 382,Las Vegas,NV,891481732,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00655613,,,Lee,Susie,,,,H,NV,03,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500407854,,,PAC,TAHOMA PAC,,,,,,401 2Nd Ave S,Ste 303,Seattle,WA,981042862,,,2024-03-06,1000.00,0.00,Contribution,,C00765727,TAHOMA PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17057616C,17057616,SA11C,PAC,Terri PAC,,,,,,499 S Capitol St SW,Ste 404,Washington,DC,200034004,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00525030,Terri PAC,,,,,,,,,,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17060132C,17060132,SA11C,CCM,Terri Sewell For Congress,,,,,,PO Box 1964,,Birmingham,AL,352011964,,,2024-03-27,1000.00,0.00,Conduit Contribution,,C00458976,,,Sewell,Terri,,,,H,AL,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17060074C,17060074,SA11C,CCM,Troy Carter For Congress,,,,,,PO Box 50730,,New Orleans,LA,701500730,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00763649,,,CARTER,TROY,SR.,,,H,LA,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,500407855,,,CCM,Val Hoyle For Congress,,,,,,PO Box 657,,Springfield,OR,974770116,G2024,,2024-03-06,1000.00,0.00,Contribution,,C00796144,,,HOYLE,VALERIE,,,,H,OR,04,,,,,,,,
SB23,C00409730,17052334C,17052334,SA11C,CCM,Val Hoyle For Congress,,,,,,PO Box 657,,Springfield,OR,974770116,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00796144,,,HOYLE,VALERIE,,,,H,OR,04,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17058553C,17058553,SA11C,CCM,Vargas For Congress,,,,,,330 Encinitas Blvd,Ste 101,Encinitas,CA,920248705,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00497321,,,Vargas,Juan,,,,H,CA,51,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,17031698C,17031698,SA11C,CCM,Vicente Gonzalez For Congress,,,,,,121 N 10Th St,,McAllen,TX,785014688,,,2024-03-18,2000.00,0.00,Conduit Contribution,,C00592659,,,Gonzalez,Vicente,,,,H,TX,15,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031785C,17031785,SA11C,CCM,Vicente Gonzalez For Congress,,,,,,121 N 10Th St,,McAllen,TX,785014688,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00592659,,,Gonzalez,Vicente,,,,H,TX,15,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042204C,17042204,SA11C,CCM,Vicente Gonzalez For Congress,,,,,,121 N 10Th St,,McAllen,TX,785014688,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00592659,,,Gonzalez,Vicente,,,,H,TX,15,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053567C,17053567,SA11C,CCM,Vicente Gonzalez For Congress,,,,,,121 N 10Th St,,McAllen,TX,785014688,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00592659,,,Gonzalez,Vicente,,,,H,TX,15,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17052324C,17052324,SA11C,CCM,Virgin Islands For Plaskett,,,,,,PO Box 11667,,Christiansted,VI,00824,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00528182,,,Plaskett,Stacey,,,,H,VI,01,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17053572C,17053572,SA11C,CCM,Virgin Islands For Plaskett,,,,,,PO Box 11667,,Christiansted,VI,00824,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00528182,,,Plaskett,Stacey,,,,H,VI,01,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17042206C,17042206,SA11C,CCM,Will Rollins For Congress,,,,,,301 N Palm Canyon Dr,Ste # 103,Palm Springs,CA,922625672,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00792507,,,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
